CountryCode&CustomerId,Yearly Call Duration (in Mins),Call Count,Data Usage,Complaints,Subscription  Length,Age Group,Tariff Plan,Churn
0061+642,1677,20,9,0,44,31-40,4,No
0044+646,6080,74,147,0,34,31-40,3,Yes
0086+649,2475,41,160,0,29,21-30,3,Yes
0086+650,6168,137,88,0,19,16-20,3,Yes
001+651,4325,82,0,0,38,31-40,3,No
0049+654,14950,224,45,0,38,31-40,3,No
0061+668,15140,225,54,0,38,31-40,3,Yes
0049+671,438,6,0,0,36,41-50,3,No
0061+674,3528,81,0,0,36,21-30,3,No
0044+675,1475,43,29,0,35,31-40,4,No
0086+676,2590,52,166,0,36,21-30,3,No
0086+678,15365,229,51,0,36,31-40,3,Yes
0061+679,6673,79,116,1,41,21-30,3,Yes
0086+682,3035,60,0,0,45,31-40,3,No
0086+683,1505,25,19,0,48,21-30,3,No
0044+688,1297,18,0,0,46,31-40,4,No
0049+689,4370,65,0,0,33,21-30,3,No
0061+690,2453,54,351,0,42,21-30,3,No
001+691,4198,60,0,0,33,16-20,3,No
0044+692,2745,47,302,1,44,21-30,3,Yes
0086+694,2360,33,277,0,33,31-40,3,No
0044+695,9115,115,136,0,42,31-40,4,No
0061+696,13773,163,0,0,33,31-40,4,No
0049+700,15140,219,46,0,33,31-40,3,No
0086+702,15485,176,142,0,42,21-30,3,No
0044+705,710,8,5,0,33,21-30,3,No
001+709,955,41,8,1,28,21-30,3,No
0086+710,10435,87,0,0,41,41-50,4,No
0061+713,2990,35,1,1,30,21-30,3,No
0044+718,16075,232,0,0,46,21-30,4,No
0049+724,1568,33,22,0,41,41-50,3,No
001+727,6993,151,106,1,17,21-30,4,Yes
0061+729,1695,20,20,0,43,21-30,3,No
0044+730,6392,135,77,0,47,16-20,3,No
001+734,1487,13,0,0,41,21-30,3,No
001+737,16380,244,7,0,33,21-30,4,Yes
0049+738,4198,72,9,0,43,16-20,4,No
001+744,4515,89,10,0,43,31-40,4,No
0086+746,2238,60,16,1,43,31-40,3,No
0086+751,875,20,8,0,42,21-30,3,No
0049+759,5818,104,34,0,41,31-40,3,No
0061+761,2990,47,17,0,40,31-40,3,No
0061+762,2268,50,42,1,41,41-50,4,No
0086+766,628,13,17,0,41,41-50,4,No
0061+776,1225,38,27,0,30,21-30,4,No
0086+779,6392,147,93,0,42,21-30,3,No
0044+780,8932,177,81,0,20,51-60,3,No
0044+781,2852,51,39,0,41,31-40,3,No
001+784,5080,82,30,0,39,31-40,4,No
0049+787,16380,238,0,1,28,21-30,4,Yes
0044+791,9825,132,152,0,38,31-40,3,No
0049+793,5225,94,10,0,39,31-40,3,No
0086+795,2948,65,16,0,39,31-40,3,No
0049+799,7210,97,194,0,38,31-40,3,No
0061+805,7428,86,116,0,38,21-30,3,No
0061+807,11145,104,9,0,37,51-60,4,No
001+812,843,13,8,0,37,31-40,3,No
0086+815,6473,143,95,0,21,21-30,4,Yes
001+821,3490,64,183,0,37,21-30,4,No
0044+825,1935,43,27,0,41,21-30,4,No
0049+828,9642,182,81,0,46,51-60,4,No
0061+829,15770,232,0,0,29,21-30,4,Yes
0086+836,15475,228,0,1,31,21-30,4,Yes
0086+847,6458,65,93,0,31,21-30,3,Yes
001+855,2280,30,0,1,34,21-30,4,No
0061+856,1558,33,9,0,35,31-40,3,No
0061+857,14678,185,28,1,40,31-40,4,Yes
0086+859,6075,86,0,0,42,41-50,4,No
0086+861,3008,71,0,0,35,21-30,3,No
001+866,515,21,0,0,44,21-30,3,No
0061+869,5682,130,60,0,46,16-20,4,No
001+870,8222,160,48,0,44,41-50,3,No
0044+876,4198,66,1,0,38,16-20,3,No
0086+881,13773,169,0,0,38,31-40,3,No
001+895,10435,93,1,1,36,51-60,3,No
0086+901,1668,25,0,0,36,31-40,3,No
0061+902,6785,97,14,0,33,51-60,4,No
0049+903,628,7,9,0,36,41-50,3,No
0086+905,6965,116,271,0,34,21-30,3,No
0061+906,3718,82,2,0,36,21-30,4,No
0061+909,1315,36,193,1,27,21-30,3,No
001+910,1568,39,30,0,46,41-50,3,No
001+915,1695,26,28,0,48,21-30,4,No
0061+920,1487,19,0,0,34,31-40,3,No
0049+930,5918,95,7,0,38,31-40,3,No
0049+937,710,14,13,0,38,31-40,3,No
0061+940,13173,159,0,1,38,31-40,3,Yes
001+941,12758,152,0,1,35,31-40,3,Yes
001+943,11220,151,9,1,37,31-40,3,Yes
0086+945,4618,78,40,0,41,16-20,3,Yes
001+949,6785,97,14,0,33,51-60,3,No
001+952,16075,238,0,1,41,21-30,4,No
001+959,700,25,10,0,27,21-30,3,No
001+960,825,10,21,0,44,41-50,3,No
0044+965,8932,171,73,0,45,41-50,3,No
0044+969,4065,65,0,0,36,21-30,3,No
0049+974,2055,33,278,0,36,31-40,4,No
001+978,5613,89,0,0,36,21-30,4,No
001+980,14835,219,47,0,36,31-40,4,No
0061+983,6195,80,179,0,35,31-40,4,No
0061+987,11160,148,4,0,35,31-40,3,No
0049+990,10130,87,0,0,34,41-50,3,No
0044+993,2685,35,2,0,33,21-30,3,No
0044+996,6480,91,7,0,41,41-50,3,No
0061+1002,1010,30,186,1,39,21-30,3,No
0049+1008,6088,135,78,0,45,16-20,4,No
0061+1011,4085,34,208,0,36,31-40,3,No
0061+1017,3530,79,30,0,38,31-40,3,No
001+1019,8870,118,142,0,37,31-40,3,No
0049+1020,13528,166,0,0,38,31-40,3,No
0049+1025,2850,24,481,0,38,31-40,3,No
0049+1028,630,11,0,0,37,21-30,4,No
0049+1034,710,44,14,1,33,21-30,4,No
0044+1035,10190,90,0,0,36,41-50,4,No
0086+1057,4145,37,213,0,39,31-40,3,No
0086+1060,2088,51,347,0,33,21-30,4,No
0044+1061,3833,57,0,0,34,21-30,4,No
0049+1071,4270,89,48,0,40,31-40,4,Yes
0044+1073,510,5,0,0,33,21-30,3,No
001+1079,2475,13,0,0,30,31-40,4,No
0061+1083,15710,229,0,0,27,21-30,3,No
0061+1085,3353,73,0,0,42,21-30,4,No
0049+1086,1300,35,26,0,41,31-40,4,No
0061+1088,950,27,181,0,41,21-30,3,No
0061+1091,2860,52,0,0,41,31-40,3,No
001+1092,1330,17,16,0,44,21-30,3,No
0049+1093,6028,132,73,0,43,16-20,3,No
001+1094,8818,165,41,0,14,41-50,4,Yes
0049+1095,4145,67,8,0,40,21-30,4,No
0061+1109,11240,150,14,0,39,31-40,3,No
0086+1131,2628,41,34,0,48,31-40,4,No
0086+1139,2600,42,56,0,20,31-40,3,Yes
0049+1142,5533,87,0,0,42,21-30,4,No
0049+1145,11160,154,12,1,40,41-50,4,Yes
0061+1153,10050,85,0,0,30,41-50,4,No
0044+1159,4080,88,39,1,40,31-40,3,Yes
001+1161,6580,108,254,0,28,21-30,4,No
0061+1164,2395,45,158,0,30,21-30,3,No
0044+1165,11580,159,9,1,39,21-30,3,Yes
0061+1168,840,24,2,0,39,21-30,3,No
0044+1169,2840,53,0,0,39,31-40,3,No
001+1170,5693,91,10,0,40,21-30,4,Yes
0061+1173,11590,152,7,1,36,21-30,3,Yes
001+1180,5873,99,15,0,42,31-40,4,No
001+1185,10730,97,15,0,34,21-30,3,Yes
0086+1188,3340,67,40,1,26,31-40,4,Yes
001+1191,5513,86,11,0,29,21-30,3,Yes
0061+1194,3562,56,39,1,17,31-40,3,Yes
0086+1195,11170,150,7,1,39,21-30,3,Yes
0049+1198,4865,78,21,0,40,31-40,4,Yes
001+1204,3033,53,42,1,19,31-40,3,Yes
0049+1206,2735,57,183,0,40,21-30,3,No
001+1207,1270,40,201,0,41,21-30,3,No
0044+1211,4855,85,23,1,43,31-40,3,Yes
0049+1216,2808,49,39,0,20,31-40,3,No
0049+1220,9947,188,88,1,18,21-30,3,Yes
0044+1227,13208,153,0,0,30,31-40,3,No
0049+1229,5353,79,0,0,30,21-30,3,No
0086+1233,14920,166,128,0,29,21-30,3,No
0044+1236,5333,84,8,1,31,21-30,4,Yes
0061+1237,6943,111,362,0,29,21-30,3,No
0061+1239,6153,59,86,0,29,21-30,3,No
0044+1245,6220,81,0,0,45,41-50,3,No
001+1248,6143,99,7,0,36,31-40,3,Yes
0061+1259,2405,37,36,1,19,21-30,3,Yes
0049+1265,13648,171,4,0,39,31-40,4,No
001+1266,4390,85,6,0,39,31-40,3,No
0049+1267,5793,97,11,0,39,21-30,4,No
0061+1270,4603,71,2,1,37,16-20,4,Yes
0049+1272,6375,88,190,0,38,31-40,4,No
0086+1279,830,49,20,1,34,21-30,3,No
001+1281,6033,100,5,1,40,31-40,3,Yes
0086+1283,2865,43,13,1,36,21-30,3,No
0061+1288,503,9,13,1,37,41-50,3,No
0049+1292,1540,46,42,0,36,31-40,3,No
0086+1299,3100,63,12,0,26,31-40,4,No
001+1302,8808,173,77,0,46,41-50,3,No
0086+1303,2728,47,35,0,47,31-40,4,No
0061+1304,3885,57,0,0,33,21-30,3,No
0049+1308,1908,44,0,0,33,16-20,4,No
001+1313,4030,69,0,0,33,31-40,3,No
0061+1317,2610,13,465,0,33,31-40,3,No
0061+1321,10980,140,0,0,42,31-40,4,No
001+1325,4073,68,5,1,39,16-20,4,Yes
0044+1329,10130,87,0,1,34,21-30,3,Yes
0061+1331,3820,78,24,1,34,31-40,4,Yes
0061+1339,1650,30,36,0,22,21-30,4,Yes
0044+1340,4503,66,0,1,35,16-20,3,Yes
0044+1341,2740,47,0,0,20,31-40,4,No
0061+1346,613,9,21,0,37,21-30,3,No
001+1357,15435,229,68,0,36,31-40,4,No
001+1362,1005,18,27,0,36,21-30,4,No
001+1365,7013,79,122,0,35,21-30,3,No
0086+1371,2563,48,48,1,34,31-40,3,No
0049+1373,3173,60,62,1,38,21-30,4,Yes
0049+1374,7080,101,28,0,41,41-50,4,No
0061+1375,923,11,23,0,34,41-50,3,No
0061+1378,7260,120,285,0,42,21-30,3,No
001+1384,995,29,24,0,25,21-30,3,No
0049+1394,1548,44,331,0,35,21-30,3,No
001+1397,4820,89,9,1,40,31-40,4,Yes
0086+1398,1455,23,257,0,36,31-40,3,No
001+1400,12868,153,0,0,36,31-40,3,No
0061+1402,5013,79,0,0,36,21-30,3,No
0061+1405,2190,11,455,0,36,31-40,4,No
0086+1413,4325,75,13,0,42,31-40,4,Yes
0061+1415,4083,91,14,1,40,31-40,4,Yes
0049+1429,8028,155,45,0,13,41-50,3,No
0086+1430,1948,29,3,0,44,31-40,4,No
0086+1432,3938,56,0,1,32,16-20,4,Yes
001+1433,4008,66,26,0,37,16-20,4,No
0049+1436,2170,39,310,0,37,31-40,3,No
001+1438,13583,169,25,0,37,31-40,3,No
0086+1439,4325,83,27,0,37,31-40,3,No
0061+1441,2048,54,33,0,37,31-40,3,No
001+1443,2905,27,508,0,37,31-40,3,No
0061+1451,6528,75,133,0,36,21-30,4,No
0049+1453,10245,93,26,0,35,51-60,3,No
001+1454,5628,98,51,1,35,21-30,3,No
0061+1456,2800,41,34,1,34,31-40,3,No
0086+1462,4615,74,7,0,38,31-40,4,Yes
0086+1470,510,25,35,0,26,31-40,3,No
0049+1472,1035,32,44,0,24,21-30,3,No
001+1473,3035,61,33,0,24,31-40,4,No
0049+1474,1505,26,53,0,47,21-30,3,No
0049+1478,3950,59,0,0,35,21-30,4,No
0061+1480,3778,54,0,0,35,16-20,3,No
0044+1481,1973,46,0,0,35,16-20,3,No
0044+1482,738,17,46,1,42,31-40,4,Yes
0044+1484,8695,109,105,0,34,31-40,3,No
0086+1487,5498,83,0,0,35,21-30,3,No
0049+1490,2675,15,444,0,35,31-40,3,No
0061+1495,11045,142,0,0,34,31-40,4,No
0049+1496,6298,63,69,0,34,21-30,4,No
001+1497,3673,86,10,1,40,21-30,4,Yes
0049+1499,5398,86,0,0,33,21-30,3,No
0061+1504,6365,85,0,0,30,41-50,3,No
0049+1508,1245,32,0,0,42,31-40,3,No
0061+1514,3180,42,18,1,35,31-40,4,Yes
001+1516,2548,39,24,0,14,31-40,4,Yes
0044+1525,4400,78,4,0,36,31-40,4,No
0044+1528,15025,220,56,0,36,31-40,3,No
001+1531,760,9,2,0,35,21-30,4,No
0049+1534,11350,149,13,0,35,31-40,3,No
001+1535,6603,70,110,0,35,21-30,3,No
0086+1537,10320,88,3,0,34,41-50,4,No
001+1541,2153,39,36,1,34,31-40,3,No
001+1544,513,2,11,0,34,41-50,3,No
0086+1547,3603,77,4,0,34,21-30,3,No
0044+1548,1550,39,40,0,33,31-40,3,No
0086+1555,3110,56,10,0,23,31-40,3,No
0086+1556,1580,21,30,0,16,21-30,3,No
0086+1559,2737,40,33,0,14,31-40,4,No
0061+1563,1898,51,0,0,36,16-20,3,No
001+1565,1865,32,269,0,36,31-40,4,No
0049+1570,1743,47,0,0,36,31-40,3,No
0061+1572,2600,20,467,0,36,31-40,3,No
0086+1584,1173,18,0,0,34,31-40,4,No
0049+1587,15580,231,0,0,29,21-30,3,No
0061+1594,3295,47,16,1,37,31-40,4,Yes
001+1596,2730,54,0,0,23,31-40,3,No
0086+1598,5897,134,69,0,15,16-20,3,No
001+1599,2653,68,17,0,44,21-30,3,Yes
001+1601,4065,59,0,0,41,21-30,4,No
0049+1602,3335,29,16,0,36,31-40,3,Yes
0049+1615,6195,74,171,0,30,31-40,4,No
0049+1623,10130,81,0,0,29,41-50,3,No
0049+1624,1390,26,29,0,21,21-30,3,Yes
0061+1633,3413,70,0,0,29,21-30,4,No
0044+1634,1360,32,23,0,28,31-40,4,No
0049+1638,1710,40,30,0,31,31-40,3,Yes
0044+1640,2920,49,0,0,48,31-40,3,No
001+1643,1310,24,34,0,38,31-40,3,Yes
0086+1646,2148,60,360,0,40,31-40,4,No
0086+1649,4630,88,0,0,40,31-40,4,Yes
001+1653,4210,83,3,0,41,31-40,3,No
0086+1654,5613,95,8,0,41,31-40,3,No
0044+1655,1933,54,9,0,41,31-40,3,No
0049+1662,4065,65,0,0,36,21-30,3,Yes
001+1670,2685,41,10,1,38,31-40,3,No
0049+1673,6480,97,15,0,36,51-60,4,No
0061+1676,6660,116,272,0,37,21-30,4,No
0061+1683,520,10,22,0,29,41-50,4,No
0044+1684,1963,38,27,1,34,31-40,4,Yes
0044+1696,2765,44,286,0,37,31-40,3,No
0086+1700,3260,34,39,0,37,41-50,3,Yes
0061+1702,15545,230,55,1,37,31-40,3,No
0049+1703,4455,80,0,0,36,31-40,4,Yes
0044+1704,3395,46,10,0,34,31-40,3,Yes
0044+1709,4210,77,0,0,36,31-40,4,Yes
0086+1712,1360,52,17,0,42,21-30,3,No
0061+1713,3875,64,0,0,36,21-30,3,Yes
0061+1715,3245,27,1,0,33,31-40,3,No
001+1719,2073,30,1,0,35,31-40,3,No
001+1725,4123,87,3,0,35,21-30,3,No
0044+1728,1720,41,194,0,26,21-30,4,No
0061+1730,1105,30,11,0,26,21-30,3,No
0086+1731,1230,15,22,0,25,41-50,4,No
0086+1734,2100,31,29,0,47,21-30,3,No
0044+1738,3355,54,0,0,35,21-30,4,No
001+1739,1438,43,327,0,34,21-30,3,No
0061+1743,1345,22,253,0,35,31-40,3,No
0086+1744,8100,104,112,0,34,31-40,4,No
0044+1747,4903,78,0,0,35,21-30,4,No
0044+1748,905,16,28,1,39,21-30,4,Yes
001+1759,1825,5,0,0,31,31-40,3,No
0044+1760,1975,24,0,0,42,21-30,3,No
0049+1768,2703,65,0,0,33,21-30,3,No
001+1782,2088,52,0,0,36,16-20,3,No
0049+1783,3470,76,25,0,36,21-30,4,No
0086+1793,6195,80,179,0,35,31-40,3,No
001+1805,1363,19,0,0,34,31-40,3,No
0086+1807,15770,232,0,0,29,21-30,3,No
0086+1809,3413,76,0,0,34,21-30,3,No
0061+1828,2055,33,278,0,36,31-40,4,No
0044+1831,4210,77,0,0,36,31-40,3,No
0061+1833,1933,48,1,0,36,31-40,3,No
001+1838,570,8,0,0,35,21-30,3,No
0086+1841,11160,148,4,0,35,31-40,3,No
0049+1847,2685,35,2,1,33,21-30,3,No
0044+1862,1390,20,21,0,16,21-30,3,No
0061+1869,4503,72,8,0,40,16-20,4,No
0061+1871,4080,88,39,0,40,31-40,4,No
0061+1873,9420,127,151,0,39,31-40,3,No
0049+1874,14078,175,7,0,40,31-40,3,No
0086+1886,7023,81,115,0,39,21-30,3,No
0049+1891,3295,47,16,1,37,31-40,4,No
0049+1899,7270,122,278,0,36,31-40,3,No
0044+1903,1620,42,200,0,29,31-40,3,No
0049+1904,1873,45,37,0,28,51-60,4,No
0061+1905,1005,31,17,0,29,31-40,3,No
001+1914,4735,80,17,0,42,31-40,4,No
0044+1918,2758,67,14,0,42,21-30,4,No
0086+1919,4140,91,44,0,42,31-40,3,No
0061+1928,15850,191,162,0,41,21-30,3,No
001+1933,7083,84,120,0,41,21-30,3,No
0061+1938,3355,50,21,1,39,31-40,3,No
0044+1939,2633,53,46,0,40,41-50,3,No
0086+1940,498,11,12,0,40,31-40,3,No
0044+1952,1065,34,22,0,31,31-40,3,No
001+1958,9298,180,85,0,39,51-60,3,No
0044+1965,7090,103,21,0,35,51-60,3,Yes
0061+1967,4020,85,34,0,38,31-40,4,No
001+1977,6745,89,188,0,37,31-40,3,No
0044+1981,7753,130,386,0,37,31-40,4,No
001+1983,6963,78,110,0,37,21-30,3,No
0086+1985,10680,96,7,0,36,51-60,4,No
0044+1986,920,32,20,0,28,21-30,3,Yes
0044+1987,3085,25,7,0,34,31-40,4,No
0049+1991,1913,28,7,0,36,41-50,3,No
0044+2001,945,28,12,0,27,31-40,3,No
0044+2002,1070,13,23,0,26,41-50,3,No
0086+2003,1470,35,21,0,25,21-30,3,No
0061+2008,3098,48,33,0,16,31-40,3,No
0044+2009,4755,79,22,0,44,31-40,3,No
0049+2010,703,13,24,0,45,31-40,4,No
0061+2017,14158,177,17,0,44,31-40,3,No
001+2021,15525,233,71,0,44,31-40,3,No
0049+2022,3480,35,500,0,44,41-50,4,No
0049+2024,6885,94,203,0,43,31-40,3,No
0061+2028,11850,162,28,0,43,41-50,4,No
001+2029,7103,83,125,0,43,21-30,3,No
0049+2031,3145,59,0,0,21,31-40,3,Yes
001+2032,6203,106,43,0,42,31-40,4,No
0086+2039,1013,15,26,1,42,41-50,3,No
0061+2046,1700,44,210,0,33,31-40,3,No
0061+2047,1400,22,14,0,20,21-30,3,Yes
0061+2048,1085,33,27,0,33,31-40,3,No
001+2052,2080,34,45,0,24,31-40,4,No
0049+2053,6778,149,102,0,23,21-30,4,No
0044+2055,3238,53,48,0,22,31-40,3,No
0049+2056,4775,48,232,0,15,31-40,3,No
0049+2057,1873,27,17,1,15,31-40,4,No
0044+2062,2715,24,4,0,35,31-40,3,Yes
001+2067,4740,87,7,0,36,31-40,3,No
0044+2071,3320,31,480,0,36,31-40,4,No
0086+2074,6785,97,14,0,33,51-60,3,Yes
001+2078,6943,79,105,0,35,21-30,3,No
0086+2082,3045,53,0,0,22,31-40,3,Yes
0044+2089,3943,86,7,0,34,31-40,4,No
0061+2092,1540,40,190,0,25,31-40,4,No
001+2099,6618,145,82,0,15,21-30,3,No
0086+2108,2958,74,24,0,46,21-30,3,No
001+2112,14338,185,22,0,46,31-40,3,No
0086+2119,1165,29,14,0,23,21-30,3,Yes
0044+2123,12030,170,33,0,45,41-50,3,No
0061+2124,7283,91,130,0,45,21-30,4,No
0049+2126,11000,109,23,0,44,51-60,4,No
0086+2132,2840,22,0,0,34,31-40,3,Yes
001+2136,1793,43,27,0,24,41-50,3,Yes
0061+2137,7530,132,293,1,42,31-40,3,No
0044+2139,2230,60,60,0,43,41-50,3,No
0086+2146,2260,42,50,0,26,31-40,3,No
0049+2148,9498,187,95,0,23,51-60,3,No
0061+2150,4955,56,237,0,47,31-40,3,No
001+2151,2053,35,22,0,47,31-40,4,No
0044+2162,3140,23,475,0,34,31-40,3,No
0086+2169,11510,150,7,0,33,41-50,3,No
001+2173,5863,94,18,0,32,21-30,3,No
0049+2175,3035,37,7,0,31,31-40,3,No
0086+2183,6595,96,5,0,33,51-60,3,Yes
0086+2190,1228,17,30,0,36,41-50,3,Yes
0049+2196,4683,80,19,0,43,16-20,3,No
0061+2200,9600,135,162,0,42,31-40,4,No
0049+2203,6403,109,25,0,43,31-40,3,No
0044+2209,1015,11,30,0,26,41-50,3,Yes
