CustomerId,Yearly Call Duration (in Mins),Call Count,Data Usage,Complaints,Subscription  Length,International Plan,Age Group,Tariff Plan,Net Customer Spend,Churn
78,7025,119,276,1,36,No,31-40,3,1440,No
79,3778,85,7,0,38,No,31-40,2,1140,No
80,1725,47,43,0,37,No,31-40,3,1480,No
81,2710,19,466,1,32,No,31-40,1,640,Yes
82,1375,39,198,0,39,No,31-40,1,780,No
83,2690,22,465,1,39,No,31-40,2,1170,Yes
84,7023,113,366,1,32,Yes,21-30,1,640,Yes
85,885,13,26,0,48,Yes,41-50,2,1440,No
86,1285,35,24,0,38,No,21-30,1,760,No
87,3285,64,13,0,37,No,31-40,2,1110,No
88,1755,29,33,0,20,Yes,21-30,1,400,No
89,6453,144,90,0,39,No,21-30,1,780,No
90,3285,27,458,1,39,Yes,31-40,1,780,Yes
91,6908,117,363,0,37,No,21-30,2,1110,Yes
92,4450,43,220,0,42,No,31-40,1,840,No
93,1548,22,5,1,33,No,31-40,2,990,No
94,4310,68,0,0,36,No,21-30,4,1800,No
95,7873,136,396,1,41,Yes,31-40,1,820,Yes
96,7633,125,380,1,36,No,31-40,1,720,Yes
97,2333,55,0,0,36,No,16-20,1,720,No
98,3500,32,484,1,37,No,31-40,2,1110,Yes
99,2300,36,280,0,36,Yes,31-40,2,1080,No
100,9055,118,139,0,35,Yes,31-40,4,1750,No
101,13713,166,0,0,36,Yes,31-40,2,1080,No
102,7103,122,366,1,38,No,31-40,1,760,Yes
103,7143,118,372,1,33,Yes,21-30,2,990,Yes
104,2178,51,3,1,36,Yes,31-40,1,720,No
105,15080,222,49,0,36,No,31-40,4,1800,No
106,3035,24,478,0,36,Yes,31-40,4,1800,No
107,15425,179,145,0,35,No,21-30,2,1050,No
108,6440,83,181,0,35,Yes,31-40,4,1750,No
109,815,11,0,0,35,No,21-30,4,1750,No
110,650,11,8,0,36,Yes,21-30,3,1440,No
111,2393,57,354,1,35,No,21-30,1,700,Yes
112,11405,151,6,0,35,No,31-40,2,1050,No
113,6658,72,103,0,35,Yes,21-30,2,1050,No
114,895,44,11,0,41,No,21-30,3,1640,No
115,2148,54,352,1,35,Yes,21-30,2,1050,Yes
116,5758,95,21,0,34,No,21-30,4,1700,No
117,2780,19,0,0,42,No,31-40,3,1680,No
118,2930,38,4,0,33,Yes,21-30,2,990,No
119,2208,41,29,1,34,No,31-40,2,1020,No
120,1608,22,0,0,34,No,31-40,1,680,No
121,2148,54,352,1,35,No,21-30,2,1050,Yes
122,568,4,4,0,34,No,41-50,2,1020,No
123,2148,54,352,1,35,No,21-30,2,1050,Yes
124,6905,113,266,0,42,No,21-30,2,1260,No
125,3658,79,0,0,34,Yes,21-30,2,1020,No
126,1605,41,33,0,33,Yes,31-40,2,990,No
127,2720,50,170,0,34,No,21-30,4,1700,No
128,1255,33,188,0,45,Yes,21-30,1,900,No
129,1508,36,25,0,44,No,41-50,1,880,No
130,640,22,5,0,45,No,21-30,3,1800,No
131,765,7,16,1,44,Yes,41-50,2,1320,No
132,2568,66,391,1,38,No,31-40,2,1140,Yes
133,3165,58,3,0,33,No,31-40,2,990,No
134,1635,23,23,0,46,No,21-30,1,920,No
135,6333,138,80,0,45,No,16-20,2,1350,No
136,2148,48,344,1,30,No,21-30,2,900,Yes
137,2793,42,26,0,44,No,31-40,2,1320,No
138,4330,37,210,0,34,No,31-40,3,1360,No
139,1428,16,0,0,35,No,31-40,1,700,No
140,4450,73,15,0,42,No,31-40,2,1260,No
141,2533,62,369,0,41,No,31-40,2,1230,No
142,4278,68,11,0,42,No,16-20,1,840,No
143,2473,60,12,0,42,No,21-30,2,1260,No
144,3855,84,42,0,42,No,31-40,4,2100,No
145,2440,41,295,0,42,No,31-40,2,1260,No
146,9195,123,154,0,41,No,31-40,2,1230,No
147,3053,70,380,1,37,No,31-40,1,740,Yes
148,4595,85,12,0,42,No,31-40,2,1260,No
149,5998,97,17,0,42,No,31-40,3,1680,No
150,2318,56,18,0,42,No,31-40,1,840,No
151,15220,227,64,0,42,No,31-40,2,1260,No
152,3175,29,493,0,42,No,31-40,3,1680,No
153,15565,184,160,0,41,Yes,21-30,1,820,No
154,6580,88,196,0,41,Yes,31-40,2,1230,No
155,955,16,10,0,41,Yes,21-30,4,2050,No
156,790,16,23,0,42,Yes,31-40,3,1680,No
157,7588,129,394,0,41,Yes,31-40,1,820,No
158,2748,64,373,1,35,Yes,21-30,2,1050,Yes
159,6798,77,118,0,41,No,21-30,1,820,No
160,1035,49,26,1,37,No,31-40,1,740,Yes
161,10515,95,11,1,40,Yes,21-30,1,800,Yes
162,5898,100,36,0,40,No,21-30,2,1200,No
163,2920,24,10,0,38,No,31-40,3,1520,No
164,3070,43,19,0,39,Yes,31-40,2,1170,No
165,2348,46,44,1,40,No,31-40,3,1600,No
166,2938,74,377,0,42,Yes,31-40,2,1260,Yes
167,1748,27,10,0,40,No,41-50,3,1600,No
168,6865,99,24,0,37,No,51-60,3,1480,No
169,2228,56,362,1,39,Yes,21-30,2,1170,Yes
170,418,6,14,0,40,No,51-60,3,1600,No
171,16155,240,10,0,35,Yes,21-30,1,700,No
172,7045,118,281,1,38,No,21-30,3,1520,No
173,3798,84,12,0,40,No,31-40,1,800,No
174,1745,46,48,0,39,No,31-40,4,1950,No
175,2860,55,185,0,40,No,21-30,1,800,No
176,2713,70,374,0,43,Yes,31-40,1,860,Yes
177,1648,41,40,0,30,No,41-50,2,900,No
178,7145,124,282,0,37,Yes,21-30,1,740,Yes
179,905,12,31,0,30,Yes,41-50,3,1200,No
180,1305,34,29,0,39,No,21-30,2,1170,No
181,3305,63,18,0,39,No,31-40,4,1950,No
182,1775,28,38,0,32,No,21-30,2,960,No
183,2633,68,370,0,40,Yes,31-40,1,800,Yes
184,1743,49,334,1,36,Yes,21-30,1,720,Yes
185,2758,66,366,1,39,Yes,31-40,1,780,Yes
186,2453,66,367,1,42,Yes,31-40,1,840,Yes
187,1568,21,10,0,43,No,31-40,2,1290,No
188,2408,64,367,1,41,Yes,31-40,2,1230,Yes
189,2373,58,349,1,33,Yes,21-30,1,660,Yes
190,4118,64,0,0,34,No,16-20,3,1360,No
191,7210,119,273,1,34,Yes,21-30,1,680,Yes
192,3695,80,22,0,34,Yes,31-40,2,1020,No
193,2280,37,275,0,34,No,31-40,3,1360,No
194,9035,119,134,0,33,Yes,31-40,2,990,No
195,13693,167,0,0,34,No,31-40,1,680,No
196,4435,81,0,0,34,No,31-40,1,680,No
197,15600,188,182,1,38,Yes,21-30,2,1140,Yes
198,2158,52,0,0,34,Yes,31-40,3,1360,No
199,15060,223,44,0,34,No,31-40,1,680,No
200,15970,196,168,1,42,Yes,21-30,1,840,Yes
201,15405,180,140,0,33,Yes,21-30,1,660,No
202,6420,84,176,0,33,No,31-40,2,990,No
203,795,12,0,0,33,No,21-30,2,990,No
204,630,12,3,0,34,No,21-30,2,1020,No
205,15980,189,166,1,39,Yes,21-30,2,1170,Yes
206,16195,193,158,1,38,Yes,21-30,2,1140,Yes
207,6638,73,98,0,33,No,21-30,3,1320,No
208,875,45,6,0,39,Yes,21-30,1,780,No
209,10355,91,0,0,42,Yes,41-50,3,1680,No
210,5738,96,16,1,42,No,21-30,2,1260,No
211,2760,20,0,0,30,No,31-40,2,900,No
212,2910,39,0,1,41,No,31-40,2,1230,No
213,2188,42,24,0,42,No,31-40,2,1260,No
214,6560,111,253,1,35,Yes,21-30,2,1050,Yes
215,7330,125,283,1,38,Yes,31-40,1,760,Yes
216,15995,236,0,0,37,No,21-30,2,1110,No
217,6885,114,261,1,30,Yes,21-30,1,600,Yes
218,3638,80,0,0,42,No,21-30,1,840,No
219,1585,42,28,0,41,Yes,31-40,2,1230,No
220,2700,51,165,0,42,No,21-30,2,1260,No
221,1235,34,183,0,33,No,21-30,3,1320,No
222,1488,37,20,0,32,No,41-50,2,960,No
223,620,23,0,0,33,No,21-30,2,990,No
224,1145,30,9,0,41,Yes,21-30,2,1230,No
225,7270,122,278,1,36,Yes,31-40,1,720,Yes
226,1615,24,18,0,44,No,21-30,2,1320,No
227,6313,139,75,0,43,No,16-20,3,1720,No
228,8853,169,63,0,36,Yes,41-50,1,720,No
229,15890,187,151,0,36,Yes,21-30,1,720,Yes
230,4310,38,205,0,37,Yes,31-40,3,1480,No
231,1408,17,0,0,38,Yes,31-40,2,1140,No
232,4630,81,20,0,44,No,31-40,3,1760,No
233,578,15,22,0,45,Yes,31-40,4,2250,No
234,15120,173,138,0,33,Yes,21-30,2,990,Yes
235,4458,76,16,0,44,No,16-20,4,2200,No
236,2620,49,300,0,44,Yes,31-40,1,880,Yes
237,4035,92,47,0,44,No,31-40,1,880,No
238,2655,43,299,0,36,Yes,31-40,1,720,Yes
239,15225,172,135,0,31,Yes,21-30,1,620,Yes
240,14033,179,15,0,44,No,31-40,2,1320,No
241,4775,93,17,0,44,Yes,31-40,4,2200,No
242,2665,45,292,0,40,Yes,31-40,1,800,Yes
243,2498,64,23,1,44,No,31-40,2,1320,No
244,15400,235,69,0,44,No,31-40,4,2200,No
245,3355,37,498,0,44,No,31-40,1,880,No
246,15745,192,165,1,43,Yes,21-30,2,1290,Yes
247,15675,182,125,0,38,Yes,21-30,1,760,Yes
248,1135,24,15,0,43,No,21-30,3,1720,No
249,970,24,28,0,44,Yes,31-40,2,1320,No
250,2235,41,289,0,39,Yes,31-40,1,780,Yes
251,7768,137,399,0,43,No,31-40,2,1290,No
252,11725,164,26,0,43,Yes,41-50,2,1290,No
253,6978,85,123,0,43,No,21-30,3,1720,No
254,1215,57,31,1,39,Yes,31-40,2,1170,No
255,2245,34,287,0,36,Yes,31-40,2,1080,Yes
256,15370,176,118,1,36,Yes,21-30,2,1080,Yes
257,3250,51,24,1,41,No,31-40,2,1230,No
258,2528,54,49,1,42,No,41-50,2,1260,No
259,2405,35,277,1,34,Yes,31-40,1,680,Yes
260,1928,35,15,0,42,No,41-50,2,1260,No
261,2263,60,384,0,36,No,31-40,2,1080,Yes
262,888,17,24,0,42,Yes,41-50,2,1260,No
263,598,14,19,0,42,Yes,51-60,2,1260,No
264,14470,165,118,1,34,Yes,21-30,2,1020,Yes
265,7225,126,286,1,40,No,31-40,1,800,Yes
266,3978,92,17,0,42,No,31-40,2,1260,No
267,1925,54,53,0,41,No,31-40,1,820,No
268,3040,63,190,0,42,Yes,21-30,1,840,No
269,1575,46,208,0,33,No,31-40,1,660,No
270,1828,49,45,0,42,No,51-60,1,840,No
271,960,35,25,0,33,No,31-40,3,1320,No
272,1085,20,36,0,42,No,41-50,2,1260,No
273,1485,42,34,0,41,No,21-30,3,1640,No
274,3485,71,23,0,41,No,31-40,2,1230,No
275,1955,36,43,0,34,Yes,31-40,2,1020,No
276,6653,151,100,0,43,No,21-30,3,1720,No
277,9193,181,88,0,41,No,51-60,3,1640,No
278,3113,55,46,0,42,No,31-40,4,2100,No
279,4650,50,230,0,45,Yes,31-40,2,1350,No
280,1748,29,15,1,45,No,31-40,2,1350,No
281,4110,61,0,0,42,Yes,21-30,4,2100,No
282,2180,31,274,1,35,No,31-40,2,1050,Yes
283,2193,50,344,0,41,No,21-30,2,1230,No
284,1995,30,273,1,34,No,31-40,2,1020,Yes
285,2100,29,270,1,32,No,31-40,1,640,Yes
286,3515,72,17,0,42,No,21-30,2,1260,No
287,7405,102,214,1,39,No,31-40,2,1170,Yes
288,8855,111,129,0,41,No,31-40,4,2050,No
289,1760,29,264,1,38,Yes,31-40,2,1140,Yes
290,1650,28,260,1,37,Yes,31-40,2,1110,Yes
291,1978,44,0,0,42,No,31-40,4,2100,No
292,14880,215,39,0,42,Yes,31-40,1,840,No
293,2835,17,468,0,42,Yes,31-40,1,840,No
294,6310,86,211,1,36,No,31-40,2,1080,Yes
295,615,4,0,0,41,No,21-30,4,2050,No
296,450,4,0,0,42,Yes,21-30,3,1680,No
297,6995,93,202,1,39,No,31-40,1,780,Yes
298,7248,117,369,0,41,No,21-30,3,1640,No
299,11205,144,0,0,41,No,31-40,2,1230,No
300,4470,42,225,1,13,Yes,31-40,1,260,Yes
301,695,37,1,1,27,Yes,21-30,2,810,Yes
302,10175,83,0,0,30,Yes,41-50,1,600,No
303,5558,88,11,1,30,No,21-30,3,1200,No
304,2580,12,0,0,38,No,31-40,3,1520,No
305,2730,31,0,0,37,Yes,21-30,1,740,No
306,2008,34,19,1,30,Yes,31-40,1,600,Yes
307,6760,96,201,1,43,Yes,31-40,1,860,Yes
308,6525,87,0,0,37,Yes,41-50,1,740,No
309,15815,228,0,0,35,No,21-30,2,1050,No
310,6705,106,256,0,38,No,21-30,1,760,No
311,3458,72,0,0,30,No,21-30,1,600,No
312,1405,34,23,0,39,No,31-40,2,1170,No
313,1308,29,15,0,20,No,41-50,3,800,No
314,440,15,0,0,41,No,21-30,2,1230,No
315,6865,95,198,1,41,Yes,31-40,2,1230,Yes
316,2965,51,0,0,39,No,31-40,1,780,No
317,1435,16,13,0,39,Yes,21-30,2,1170,No
318,6133,131,70,0,40,No,16-20,2,1200,No
319,8673,161,58,0,41,No,41-50,2,1230,No
320,2593,35,16,0,32,No,31-40,4,1600,No
321,4130,30,200,0,33,No,31-40,2,990,No
322,1228,9,0,1,44,No,21-30,4,2200,No
323,4550,79,16,0,41,No,31-40,4,2050,No
324,4345,44,223,1,13,Yes,31-40,1,260,Yes
325,1940,27,246,0,35,No,31-40,1,700,Yes
326,4378,74,12,0,41,No,16-20,1,820,No
327,6680,94,197,0,40,No,31-40,2,1200,Yes
328,3955,90,43,0,41,No,31-40,1,820,No
329,2540,47,296,0,41,Yes,31-40,2,1230,No
330,9295,129,155,0,40,No,31-40,1,800,No
331,13953,177,11,0,41,No,31-40,4,2050,No
332,4695,91,13,0,41,No,31-40,3,1640,No
333,6098,103,18,0,41,Yes,31-40,1,820,No
334,2418,62,19,0,41,No,31-40,1,820,No
335,3275,35,494,0,41,No,31-40,3,1640,No
336,15665,190,161,0,40,No,21-30,4,2000,No
337,6690,87,195,0,37,No,31-40,2,1110,Yes
338,1055,22,11,0,40,Yes,21-30,3,1600,No
339,890,22,24,0,41,No,31-40,4,2050,No
340,6805,92,193,1,39,No,31-40,2,1170,Yes
341,7688,135,395,0,40,Yes,21-30,2,1200,No
342,11645,162,22,0,40,No,41-50,1,800,No
343,6898,83,119,0,40,No,21-30,1,800,No
344,1135,55,27,1,36,No,21-30,1,720,No
345,10615,101,12,0,39,Yes,51-60,3,1560,No
346,5998,106,37,0,39,No,21-30,1,780,No
347,6805,92,193,1,39,Yes,31-40,3,1560,Yes
348,3170,49,20,1,38,Yes,31-40,4,1900,No
349,2448,52,45,1,39,No,31-40,3,1560,No
350,1848,33,11,0,39,No,31-40,1,780,No
351,6965,105,25,0,36,Yes,51-60,2,1080,No
352,808,15,20,0,39,No,41-50,4,1950,No
353,518,12,15,0,39,Yes,51-60,2,1170,No
354,16255,246,11,1,34,No,21-30,3,1360,Yes
355,3898,90,13,0,39,No,21-30,3,1560,No
356,1845,52,49,0,38,No,31-40,2,1140,No
357,2960,61,186,0,39,No,21-30,3,1560,No
358,1495,44,204,1,30,Yes,21-30,2,900,No
359,880,33,21,0,30,Yes,21-30,3,1200,No
360,1005,18,32,0,47,No,41-50,2,1410,No
361,3345,69,197,1,44,Yes,21-30,3,1760,Yes
362,3405,69,19,0,48,Yes,31-40,2,1440,No
363,6573,149,96,0,20,No,21-30,2,600,No
364,6500,92,194,1,42,Yes,31-40,2,1260,Yes
365,8925,121,169,1,36,Yes,31-40,1,720,Yes
366,4570,48,226,0,45,No,31-40,4,2250,No
367,6455,90,194,0,41,Yes,31-40,2,1230,Yes
368,3380,63,196,0,36,Yes,21-30,3,1440,Yes
369,2273,52,348,0,34,No,31-40,4,1700,No
370,2213,50,0,0,35,No,16-20,1,700,No
371,3595,74,21,0,35,Yes,31-40,2,1050,No
372,1125,36,218,0,26,Yes,21-30,2,780,Yes
373,8935,113,133,0,34,No,31-40,2,1020,No
374,13593,161,0,0,35,Yes,31-40,2,1050,No
375,4335,75,0,0,35,Yes,31-40,1,700,No
376,5738,87,0,0,35,No,31-40,2,1050,No
377,2058,46,0,0,35,No,31-40,2,1050,No
378,14960,217,43,0,35,No,31-40,2,1050,No
379,6560,89,191,0,39,Yes,31-40,2,1170,Yes
380,15305,174,139,0,34,No,21-30,1,680,No
381,6320,78,175,0,34,No,31-40,2,1020,No
382,695,6,0,0,34,No,21-30,4,1700,No
383,2590,53,200,0,35,Yes,21-30,1,700,Yes
384,7328,119,373,0,34,Yes,21-30,1,680,No
385,11285,146,0,0,34,Yes,41-50,3,1360,No
386,6538,67,97,0,34,No,21-30,2,1020,No
387,775,39,5,1,30,No,21-30,4,1500,No
388,10255,85,0,0,33,No,51-60,2,990,No
389,5638,90,15,1,33,No,21-30,1,660,No
390,2660,14,0,0,41,No,31-40,2,1230,No
391,2810,33,0,0,42,No,31-40,2,1260,No
392,2088,36,23,1,33,Yes,31-40,1,660,No
393,9375,131,159,0,43,Yes,31-40,3,1720,Yes
394,1488,17,0,0,33,No,31-40,1,660,No
395,6605,89,3,0,30,No,51-60,1,600,No
396,6805,86,185,0,34,Yes,31-40,1,680,Yes
397,6385,81,188,0,35,Yes,31-40,2,1050,Yes
398,15895,230,0,0,48,Yes,21-30,1,960,No
399,6785,108,260,0,41,Yes,21-30,2,1230,No
400,6275,82,189,1,39,Yes,31-40,2,1170,Yes
401,9480,130,156,1,41,Yes,31-40,3,1640,Yes
402,6725,90,183,1,35,Yes,31-40,2,1050,Yes
403,1388,31,19,0,45,No,41-50,1,900,No
404,520,17,0,0,43,Yes,21-30,2,1290,No
405,1045,24,8,0,44,No,21-30,2,1320,No
406,6615,91,184,1,39,Yes,31-40,1,780,Yes
407,15560,237,93,1,41,Yes,31-40,1,820,Yes
408,6213,133,74,0,44,No,21-30,4,2200,No
409,2673,37,20,0,43,No,31-40,2,1290,No
410,4210,32,204,0,41,No,31-40,3,1640,No
411,1308,11,0,0,40,No,31-40,2,1200,No
412,4970,81,26,0,38,No,31-40,2,1140,No
413,3200,65,214,1,39,Yes,31-40,2,1170,Yes
414,3145,62,187,1,40,No,21-30,2,1200,Yes
415,4798,76,22,0,38,No,16-20,2,1140,No
416,2993,68,23,0,38,Yes,21-30,3,1520,No
417,4375,92,53,0,38,No,31-40,2,1140,No
418,2960,49,306,1,38,No,31-40,3,1520,Yes
419,9715,131,165,0,37,No,31-40,2,1110,No
420,14373,179,21,0,38,No,31-40,1,760,No
421,5115,93,23,0,38,No,31-40,1,760,No
422,1395,38,203,1,31,No,21-30,1,620,Yes
423,2838,64,29,0,38,Yes,31-40,1,760,No
424,15740,235,75,0,38,No,31-40,2,1140,No
425,3695,37,504,1,38,No,31-40,1,760,Yes
426,16085,192,171,0,37,No,21-30,1,740,No
427,7100,96,207,0,37,No,31-40,1,740,No
428,9115,127,152,0,42,No,31-40,2,1260,Yes
429,6545,82,178,0,33,No,31-40,1,660,Yes
430,600,10,21,0,37,No,21-30,3,1480,No
431,8108,137,405,0,37,No,31-40,2,1110,No
432,12065,164,32,0,37,No,41-50,1,740,No
433,2220,52,221,0,29,No,31-40,1,580,Yes
434,1555,57,37,1,33,No,31-40,1,660,Yes
435,6195,80,179,0,35,No,31-40,2,1050,Yes
436,6418,108,47,0,36,No,21-30,2,1080,No
437,15255,231,86,0,39,Yes,31-40,2,1170,Yes
438,3590,51,30,1,35,No,31-40,3,1400,No
439,2868,54,55,1,36,No,31-40,1,720,No
440,733,12,21,0,36,No,31-40,2,1080,No
441,9360,124,146,0,37,Yes,31-40,2,1110,Yes
442,7385,107,35,0,33,No,51-60,2,990,No
443,3085,59,182,0,38,Yes,21-30,2,1140,Yes
444,938,14,25,0,36,No,51-60,1,720,No
445,16675,248,21,0,41,No,21-30,2,1230,No
446,7565,126,292,0,34,Yes,21-30,3,1360,No
447,4318,92,23,0,36,No,31-40,2,1080,No
448,2265,54,59,1,35,No,31-40,4,1750,No
449,1430,42,225,1,28,Yes,31-40,2,840,Yes
450,1915,46,214,0,41,No,21-30,1,820,No
451,2168,49,51,0,42,No,41-50,2,1260,No
452,1300,35,31,0,35,No,31-40,3,1400,No
453,9000,116,146,1,35,Yes,31-40,1,700,Yes
454,1825,42,40,0,39,No,21-30,3,1560,No
455,3825,71,29,0,29,No,31-40,1,580,No
456,2295,36,49,0,48,No,21-30,1,960,No
457,8890,117,147,1,39,Yes,31-40,1,780,Yes
458,9533,181,94,0,45,Yes,51-60,2,1350,No
459,3453,55,52,0,46,No,31-40,1,920,No
460,4990,50,236,0,39,No,31-40,2,1170,No
461,3770,61,0,0,38,No,21-30,2,1140,No
462,1853,50,338,0,37,Yes,21-30,2,1110,No
463,2840,56,180,1,38,Yes,21-30,2,1140,Yes
464,3175,72,11,0,38,No,31-40,3,1520,No
465,6205,82,172,1,39,Yes,31-40,1,780,Yes
466,6240,76,171,1,31,Yes,31-40,2,930,Yes
467,1200,31,195,1,25,Yes,21-30,1,500,Yes
468,16155,242,69,1,41,Yes,31-40,1,820,Yes
469,5318,85,0,0,38,No,21-30,2,1140,No
470,1638,44,0,0,38,No,31-40,1,760,No
471,14540,215,33,0,38,No,31-40,4,1900,No
472,2495,17,462,0,38,No,31-40,2,1140,No
473,14885,172,129,0,37,No,21-30,3,1480,No
474,5900,76,165,0,37,Yes,31-40,1,740,No
475,2330,53,208,1,30,Yes,31-40,1,600,Yes
476,14950,225,79,1,37,Yes,31-40,1,740,Yes
477,6118,65,87,0,37,No,21-30,1,740,No
478,9835,83,0,0,36,No,41-50,1,720,No
479,5218,88,5,1,36,No,21-30,2,1080,No
480,2240,12,0,0,34,No,31-40,2,1020,No
481,2390,31,0,0,35,No,31-40,1,700,No
482,1668,34,13,0,36,No,31-40,4,1800,No
483,15625,239,72,1,43,Yes,31-40,1,860,Yes
484,6185,87,0,0,33,Yes,41-50,1,660,No
485,9160,117,136,0,33,Yes,31-40,1,660,Yes
486,6365,106,250,0,34,No,21-30,4,1700,No
487,3118,72,0,0,36,No,21-30,2,1080,No
488,1065,34,17,0,35,No,31-40,4,1750,No
489,2180,43,154,0,36,No,21-30,2,1080,No
490,715,26,172,0,46,Yes,21-30,3,1840,No
491,968,29,9,0,48,Yes,41-50,3,1920,No
492,2780,53,175,0,36,Yes,21-30,2,1080,Yes
493,625,22,0,0,47,No,21-30,3,1880,No
494,7318,85,129,0,37,Yes,21-30,2,1110,Yes
495,3005,57,172,0,34,Yes,21-30,1,680,Yes
496,5793,131,64,0,47,No,16-20,2,1410,No
497,8333,161,52,0,45,Yes,41-50,1,900,No
498,2253,35,10,0,46,No,31-40,3,1840,No
499,888,9,0,1,44,No,31-40,1,880,No
500,8810,115,137,0,35,No,31-40,2,1050,Yes
501,433,11,39,0,40,No,31-40,2,1200,No
502,4313,72,33,0,39,No,16-20,2,1170,No
503,8925,120,135,0,37,Yes,31-40,1,740,Yes
504,3890,88,64,0,39,No,31-40,3,1560,No
505,5935,70,164,0,29,No,31-40,2,870,Yes
506,9230,127,176,0,38,No,31-40,1,760,No
507,7203,89,126,0,42,No,21-30,2,1260,Yes
508,4630,89,34,0,39,No,31-40,3,1560,No
509,6033,101,39,0,39,No,31-40,4,1950,No
510,2353,60,40,1,39,Yes,31-40,2,1170,No
511,1315,30,185,1,22,Yes,21-30,2,660,Yes
512,3210,33,515,0,39,No,41-50,4,1950,No
513,2025,47,201,1,28,No,31-40,1,560,Yes
514,6615,92,218,0,38,Yes,31-40,1,760,No
515,990,20,32,0,38,No,21-30,2,1140,No
